No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default

Setup complete, entering main loop...

cycle=960 time=3.0680569356150063e+01 dt=3.2640852563639355e-02
cycle=970 time=3.1007042105819711e+01 dt=3.2655091083872448e-02
cycle=980 time=3.1333654771979194e+01 dt=3.2668633445306586e-02
cycle=990 time=3.1660397452663631e+01 dt=3.2680951691298456e-02
cycle=1000 time=3.1987261130820496e+01 dt=3.2692968655806842e-02
cycle=1010 time=3.2314237164506558e+01 dt=3.2703607332066835e-02
cycle=1020 time=3.2641320970580928e+01 dt=3.2713823341022887e-02
cycle=1030 time=3.2968501847915228e+01 dt=3.2723542705204299e-02
cycle=1040 time=3.3295789251588474e+01 dt=3.2735612530237303e-02
cycle=1050 time=3.3623208122186142e+01 dt=3.2749997073433894e-02
cycle=1060 time=3.3950781159209036e+01 dt=3.2766316227848376e-02
cycle=1070 time=3.4278518803210162e+01 dt=3.2783333084757137e-02
cycle=1080 time=3.4606438804093358e+01 dt=3.2800856569190004e-02
cycle=1090 time=3.4934497137667357e+01 dt=3.2811752274288550e-02
cycle=1100 time=3.5262654121916079e+01 dt=3.2820152308813667e-02
cycle=1110 time=3.5590894985925885e+01 dt=3.2829716215701132e-02
cycle=1120 time=3.5919258303466187e+01 dt=3.2845601549687353e-02
cycle=1130 time=3.6247794282306799e+01 dt=3.2862193537921101e-02
cycle=1140 time=3.6576491759748826e+01 dt=3.2879465751689409e-02
cycle=1150 time=3.6905371244741005e+01 dt=3.2898591231019424e-02
cycle=1160 time=3.7234449213425791e+01 dt=3.2919325370196637e-02
cycle=1170 time=3.7563740243425734e+01 dt=3.2941337667233284e-02
cycle=1180 time=3.7893257792558124e+01 dt=3.2964590346833356e-02
cycle=1190 time=3.8223008624535368e+01 dt=3.2987803747904769e-02
cycle=1200 time=3.8552988922619861e+01 dt=3.3010444867840605e-02
cycle=1210 time=3.8883178387287465e+01 dt=3.3028821143435923e-02
cycle=1220 time=3.9213563526799284e+01 dt=3.3050053347598952e-02
cycle=1230 time=3.9544130982032236e+01 dt=3.3063818946147509e-02
cycle=1240 time=3.9874826626331448e+01 dt=3.3076651345990304e-02
cycle=1250 time=4.0205652570854227e+01 dt=3.3090024956237189e-02
cycle=1260 time=4.0536612458719972e+01 dt=3.3103089266063632e-02
cycle=1270 time=4.0867710322603628e+01 dt=3.3118326059550549e-02
cycle=1280 time=4.1198964480878878e+01 dt=3.3134175452055013e-02
cycle=1290 time=4.1530382934230133e+01 dt=3.3153258198210647e-02
cycle=1300 time=4.1861994473983451e+01 dt=3.3170962329703561e-02
cycle=1310 time=4.2193786445873585e+01 dt=3.3189367096397485e-02
cycle=1320 time=4.2525765207663511e+01 dt=3.3208397934656096e-02
cycle=1330 time=4.2857937316838822e+01 dt=3.3228100502735711e-02
cycle=1340 time=4.3190308876371873e+01 dt=3.3248285371641643e-02
cycle=1350 time=4.3522884424375135e+01 dt=3.3269067487980718e-02
cycle=1360 time=4.3855672398541607e+01 dt=3.3290806331194599e-02
cycle=1370 time=4.4188679230180284e+01 dt=3.3312742197345341e-02
cycle=1380 time=4.4521905209358557e+01 dt=3.3334637163853091e-02
cycle=1390 time=4.4855142949009981e+01 dt=3.3333358590238178e-02
cycle=1400 time=4.5188572979869591e+01 dt=3.3354771432682194e-02
cycle=1410 time=4.5522105730321520e+01 dt=3.3348328607475330e-02
cycle=1420 time=4.5855683928211491e+01 dt=3.3369239594935013e-02
cycle=1430 time=4.6189467676186119e+01 dt=3.3389546589747174e-02
cycle=1440 time=4.6523417139371034e+01 dt=3.3402722152926195e-02
cycle=1450 time=4.6857533715837214e+01 dt=3.3422515804267632e-02
cycle=1460 time=4.7191846920692441e+01 dt=3.3442037215317556e-02
cycle=1470 time=4.7526354043358886e+01 dt=3.3461277045513167e-02
cycle=1480 time=4.7860994759532915e+01 dt=3.3466352703656763e-02
cycle=1490 time=4.8195697336603700e+01 dt=3.3471411227183570e-02
cycle=1500 time=4.8530325441474233e+01 dt=3.3457388483206674e-02
cycle=1510 time=4.8864916136118389e+01 dt=3.3463165319180831e-02
cycle=1520 time=4.9199599954250559e+01 dt=3.3469904474159096e-02
cycle=1530 time=4.9534299551608207e+01 dt=3.3471546487057927e-02
cycle=1540 time=4.9869067559636726e+01 dt=3.3486242357410621e-02
cycle=1550 time=5.0203933928222270e+01 dt=3.3483860348405683e-02
cycle=1560 time=5.0538839815374516e+01 dt=3.3503595286503131e-02
cycle=1570 time=5.0873984748659261e+01 dt=3.3519200871399597e-02
cycle=1580 time=5.1209092617907473e+01 dt=3.3503544756553115e-02
cycle=1590 time=5.1544187925222708e+01 dt=3.3521719828232918e-02
cycle=1600 time=5.1879493833049239e+01 dt=3.3537718527905366e-02
cycle=1610 time=5.2214896935903496e+01 dt=3.3544286054102375e-02
cycle=1620 time=5.2550406698182421e+01 dt=3.3560874861834518e-02
cycle=1630 time=5.2886074467965322e+01 dt=3.3576684701654043e-02
cycle=1640 time=5.3221949407351445e+01 dt=3.3601183039437259e-02
cycle=1650 time=5.3558071845690968e+01 dt=3.3623527002164415e-02
cycle=1660 time=5.3894366441846813e+01 dt=3.3634328315714737e-02
cycle=1670 time=5.4230734246444676e+01 dt=3.3642190251876897e-02
cycle=1680 time=5.4567262209817315e+01 dt=3.3668450494253876e-02
cycle=1690 time=5.4903914026508225e+01 dt=3.3662420610110530e-02
cycle=1700 time=5.5240491759045710e+01 dt=3.3648656998638192e-02
cycle=1710 time=5.5577082894403709e+01 dt=3.3671839946181149e-02
cycle=1720 time=5.5913901469323136e+01 dt=3.3693864505211106e-02
cycle=1730 time=5.6250932655479488e+01 dt=3.3714117286063376e-02
cycle=1740 time=5.6588144679478248e+01 dt=3.3730991604478268e-02
cycle=1750 time=5.6925528648839673e+01 dt=3.3741186993509066e-02
cycle=1760 time=5.7262918809650365e+01 dt=3.3737495911930905e-02
cycle=1770 time=5.7600333762438723e+01 dt=3.3751061358535089e-02
cycle=1780 time=5.7937971319950719e+01 dt=3.3779437038824252e-02
cycle=1790 time=5.8275833470534174e+01 dt=3.3794894768629964e-02
cycle=1800 time=5.8613861015038268e+01 dt=3.3812514595115056e-02
cycle=1810 time=5.8952054776091884e+01 dt=3.3826908627216795e-02
cycle=1820 time=5.9290379513240886e+01 dt=3.3838871783287039e-02
cycle=1830 time=5.9628814178368707e+01 dt=3.3849066711905407e-02
cycle=1840 time=5.9967362424559795e+01 dt=3.3864476928743115e-02
cycle=1850 time=6.0306028794161406e+01 dt=3.3865755143376738e-02
cycle=1860 time=6.0644722882454928e+01 dt=3.3880188979716702e-02
cycle=1870 time=6.0983689367469339e+01 dt=3.3914092639391692e-02

Terminating on time limit
time=6.1237243569579448e+01 cycle=1878
tlim=6.1237243569579448e+01 nlim=-1

zone-cycles = 60227584
cpu time used  = 1.1538346000000001e+01
zone-cycles/cpu_second = 5.2197762140258225e+06
