No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default

Setup complete, entering main loop...

cycle=0 time=0.0000000000000000e+00 dt=1.6137430609197572e-02
cycle=100 time=1.5209086806711722e+00 dt=1.5154631801097010e-02
cycle=200 time=3.0563288787142389e+00 dt=1.5586602066506966e-02
cycle=300 time=4.6298165095590047e+00 dt=1.5819206782957878e-02
cycle=400 time=6.2169143803522751e+00 dt=1.5903961017259344e-02
cycle=500 time=7.8089069399358122e+00 dt=1.5928932315520911e-02
cycle=600 time=9.4023273746820539e+00 dt=1.5933819742414861e-02
cycle=700 time=1.0995729930772271e+01 dt=1.5933058602534095e-02
cycle=800 time=1.2589507691740232e+01 dt=1.5957378862011967e-02
cycle=900 time=1.4188414971535602e+01 dt=1.6022811677750329e-02
cycle=1000 time=1.5793365811985060e+01 dt=1.6075551190393989e-02
cycle=1100 time=1.7402704730008569e+01 dt=1.6103506886363902e-02
cycle=1200 time=1.9013750741022655e+01 dt=1.6118217840041051e-02
cycle=1300 time=2.0626899549228447e+01 dt=1.6143935233565870e-02
cycle=1400 time=2.2241933095900475e+01 dt=1.6157477647279341e-02
cycle=1500 time=2.3858068064362875e+01 dt=1.6161806351345467e-02
cycle=1600 time=2.5475382368183993e+01 dt=1.6183577154690900e-02
cycle=1700 time=2.7094525742842194e+01 dt=1.6196134814199233e-02
cycle=1800 time=2.8715779646105176e+01 dt=1.6235413683088801e-02
cycle=1900 time=3.0340713069531937e+01 dt=1.6258819553751205e-02
cycle=2000 time=3.1967818227686287e+01 dt=1.6268651015214120e-02
cycle=2100 time=3.3596637304733214e+01 dt=1.6321748818594110e-02
cycle=2200 time=3.5230072925198428e+01 dt=1.6361605097673058e-02
cycle=2300 time=3.6869014957284719e+01 dt=1.6411086636967415e-02
cycle=2400 time=3.8512304928291968e+01 dt=1.6466645262871459e-02
cycle=2500 time=4.0159988822465749e+01 dt=1.6503783437271696e-02
cycle=2600 time=4.1812428162557019e+01 dt=1.6550875883822262e-02
cycle=2700 time=4.3470533771588869e+01 dt=1.6614594686571969e-02
cycle=2800 time=4.5134054191092375e+01 dt=1.6661800331577097e-02
cycle=2900 time=4.6802772551981285e+01 dt=1.6707106694462220e-02
cycle=3000 time=4.8475672117110534e+01 dt=1.6742861722266196e-02
cycle=3100 time=5.0152166129844730e+01 dt=1.6781856434604645e-02
cycle=3200 time=5.1830966700463470e+01 dt=1.6775443644708572e-02
cycle=3300 time=5.3493949377257209e+01 dt=1.6603356307171281e-02
cycle=3400 time=5.5153614192916677e+01 dt=1.6633151342643353e-02
cycle=3500 time=5.6816551881802148e+01 dt=1.6626249152600397e-02
cycle=3600 time=5.8476997630046831e+01 dt=1.6548629711251057e-02
cycle=3700 time=6.0127731391323010e+01 dt=1.6466803473398829e-02

Terminating on time limit
time=6.1237243569579448e+01 cycle=3768
tlim=6.1237243569579448e+01 nlim=-1

zone-cycles = 1975517184
cpu time used  = 1.7866288599999999e+02
zone-cycles/cpu_second = 1.1057233140183352e+07
