No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default

Setup complete, entering main loop...

cycle=0 time=0.0000000000000000e+00 dt=3.2274861218395144e-02
cycle=10 time=3.1286053434129196e-01 dt=3.1348250737449512e-02
cycle=20 time=6.2117109925891711e-01 dt=3.0346348949665449e-02
cycle=30 time=9.2148841247489321e-01 dt=2.9868110820052959e-02
cycle=40 time=1.2213309061585349e+00 dt=3.0233422352786261e-02
cycle=50 time=1.5244552850779323e+00 dt=3.0314172659584318e-02
cycle=60 time=1.8276926519191068e+00 dt=3.0304175827363607e-02
cycle=70 time=2.1316056689315488e+00 dt=3.0525677119141715e-02
cycle=80 time=2.4373519205727066e+00 dt=3.0656677191524834e-02
cycle=90 time=2.7444946692597809e+00 dt=3.0764462530732478e-02
cycle=100 time=3.0526267649610723e+00 dt=3.0844144882650457e-02
cycle=110 time=3.3615698499485802e+00 dt=3.0934370092187382e-02
cycle=120 time=3.6716136917135875e+00 dt=3.1076933641750223e-02
cycle=130 time=3.9829803265422643e+00 dt=3.1198521530845486e-02
cycle=140 time=4.2953711026217212e+00 dt=3.1285544315410037e-02
cycle=150 time=4.6087382870971618e+00 dt=3.1384218396116999e-02
cycle=160 time=4.9228794268520852e+00 dt=3.1449073733077482e-02
cycle=170 time=5.2376004425747000e+00 dt=3.1499783937660508e-02
cycle=180 time=5.5528050820483257e+00 dt=3.1541216573460484e-02
cycle=190 time=5.8682919832212104e+00 dt=3.1560379016707989e-02
cycle=200 time=6.1840244631142509e+00 dt=3.1593359652719574e-02
cycle=210 time=6.5001024670768288e+00 dt=3.1624520556349567e-02
cycle=220 time=6.8164636577288107e+00 dt=3.1647569428321129e-02
cycle=230 time=7.1329227793074992e+00 dt=3.1638928194488512e-02
cycle=240 time=7.4492879686204718e+00 dt=3.1629957603413771e-02
cycle=250 time=7.7656063489759077e+00 dt=3.1626844446381329e-02
cycle=260 time=8.0819191179224621e+00 dt=3.1633460560420816e-02
cycle=270 time=8.3982687527867963e+00 dt=3.1632262153238604e-02
cycle=280 time=8.7145640914241955e+00 dt=3.1624565957682975e-02
cycle=290 time=9.0307622329461203e+00 dt=3.1612922551521143e-02
cycle=300 time=9.3468883353511227e+00 dt=3.1610263575838189e-02
cycle=310 time=9.6630127174524283e+00 dt=3.1614037342224302e-02
cycle=320 time=9.9791156268025585e+00 dt=3.1598961398734381e-02
cycle=330 time=1.0295057291820603e+01 dt=3.1582774128350727e-02
cycle=340 time=1.0610872856621400e+01 dt=3.1574269486672649e-02
cycle=350 time=1.0926631816038396e+01 dt=3.1571825663373354e-02
cycle=360 time=1.1242387746230280e+01 dt=3.1574095994486719e-02
cycle=370 time=1.1558159427905416e+01 dt=3.1577675089276024e-02
cycle=380 time=1.1873939072476228e+01 dt=3.1579576448941465e-02
cycle=390 time=1.2189773954834225e+01 dt=3.1585378993848084e-02
cycle=400 time=1.2505659912226589e+01 dt=3.1595874563958438e-02
cycle=410 time=1.2821690951071897e+01 dt=3.1611727444129496e-02
cycle=420 time=1.3137879706263538e+01 dt=3.1627999987237254e-02
cycle=430 time=1.3454242496925341e+01 dt=3.1646796662385866e-02
cycle=440 time=1.3770798143944596e+01 dt=3.1666061632912197e-02
cycle=450 time=1.4087539887515693e+01 dt=3.1683869757529973e-02
cycle=460 time=1.4404455054774694e+01 dt=3.1700620255755305e-02
cycle=470 time=1.4721529973781736e+01 dt=3.1715544431063676e-02
cycle=480 time=1.5038748326121683e+01 dt=3.1729527985506677e-02
cycle=490 time=1.5356107978690543e+01 dt=3.1743923933773274e-02
cycle=500 time=1.5673611161924073e+01 dt=3.1757835677529052e-02
cycle=510 time=1.5991244613819251e+01 dt=3.1769803954381719e-02
cycle=520 time=1.6308995490378873e+01 dt=3.1781730341108254e-02
cycle=530 time=1.6626868253860746e+01 dt=3.1793912426534114e-02
cycle=540 time=1.6944858356924382e+01 dt=3.1805063947242931e-02
cycle=550 time=1.7262955803406641e+01 dt=3.1815327702245579e-02
cycle=560 time=1.7581155053369876e+01 dt=3.1825763256379223e-02
cycle=570 time=1.7899461484237225e+01 dt=3.1834028341777280e-02
cycle=580 time=1.8217794381275791e+01 dt=3.1834657895352246e-02
cycle=590 time=1.8536186251752042e+01 dt=3.1846598811460312e-02
cycle=600 time=1.8854726888001117e+01 dt=3.1859578388027610e-02
cycle=610 time=1.9173341429340208e+01 dt=3.1863242462124415e-02
cycle=620 time=1.9491979950340607e+01 dt=3.1864309910453317e-02
cycle=630 time=1.9810627268926517e+01 dt=3.1865415930151665e-02
cycle=640 time=2.0129287306317639e+01 dt=3.1866698928238610e-02
cycle=650 time=2.0447965647071221e+01 dt=3.1868866005393272e-02
cycle=660 time=2.0766657527800149e+01 dt=3.1869293187708168e-02
cycle=670 time=2.1085348366225098e+01 dt=3.1868798967260865e-02
cycle=680 time=2.1404034984626808e+01 dt=3.1868621814429149e-02
cycle=690 time=2.1722724096144592e+01 dt=3.1869540940344450e-02
cycle=700 time=2.2041429934610925e+01 dt=3.1872210491634287e-02
cycle=710 time=2.2360168215692973e+01 dt=3.1872493443885895e-02
cycle=720 time=2.2678850600856901e+01 dt=3.1862407842972770e-02
cycle=730 time=2.2997476862167243e+01 dt=3.1866361724655498e-02
cycle=740 time=2.3316127064405734e+01 dt=3.1865020265511128e-02
cycle=750 time=2.3634775874175297e+01 dt=3.1865586218224599e-02
cycle=760 time=2.3953473149197393e+01 dt=3.1876105915690137e-02
cycle=770 time=2.4272262731564719e+01 dt=3.1877218699830262e-02
cycle=780 time=2.4590981220796561e+01 dt=3.1864439911642582e-02
cycle=790 time=2.4909580727026725e+01 dt=3.1852895622158671e-02
cycle=800 time=2.5228107400852615e+01 dt=3.1857437072423903e-02
