######################################
###### Cloud in wind problem generator
#### Input parameters
## Cloud radius: 3.2e-22 kpc
## Cloud density: 1e+02 g/cm^3
## Wind density: 1 g/cm^3
## Wind temperature: 6.1e-09 K
## Wind velocity: 2.6e-05 km/s
#### Derived parameters
## Cloud temperature (from pressure equ.): 6.1e-11 K
## Cloud to wind density ratio: 1e+02
## Cloud to wind temperature ratio: 0.01
## Uniform pressure (code units): 1
## Wind sonic Mach: 2
## Cloud crushing time: 1.2e-13 Myr
######################################
Starting up hydro driver
### PARTHENON WARNING
  Message:     The following input parameters are set but unused:
comment/problem


  File:        /home/kaan/codes/athenapk/external/parthenon/src/parameter_input.cpp
  Line number: 687
# Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
prim                      Cell,Provides,Real,Derived,Hydro,parthenon::resolved_state
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes,Hydro,parthenon::resolved_state
bnd_flux::cons            Face,Provides,Real,Derived,OneCopy,Flux,CellMemAligned,parthenon::resolved_state
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------


Setup complete, executing driver...

cycle=0 time=0.0000000000000000e+00 dt=1.0085894130748483e-03 zone-cycles/wsec_step=0.00e+00 wsec_total=5.03e-01 wsec_step=1.04e+00
cycle=100 time=1.0082406639113571e-01 dt=1.0021532167110078e-03 zone-cycles/wsec_step=1.17e+08 wsec_total=2.30e+00 wsec_step=1.80e+00
cycle=200 time=1.9950415951140105e-01 dt=9.7225548969525136e-04 zone-cycles/wsec_step=1.22e+08 wsec_total=4.02e+00 wsec_step=1.72e+00
cycle=300 time=2.9534039995906086e-01 dt=9.4653906991580571e-04 zone-cycles/wsec_step=1.23e+08 wsec_total=5.72e+00 wsec_step=1.71e+00
cycle=400 time=3.8916209926118939e-01 dt=9.3105458713125568e-04 zone-cycles/wsec_step=1.22e+08 wsec_total=7.44e+00 wsec_step=1.72e+00
cycle=500 time=4.8176084418150344e-01 dt=9.2148758198335855e-04 zone-cycles/wsec_step=1.22e+08 wsec_total=9.16e+00 wsec_step=1.73e+00
cycle=600 time=5.7361687005590090e-01 dt=9.1631817691810241e-04 zone-cycles/wsec_step=8.38e+07 wsec_total=1.17e+01 wsec_step=2.50e+00
cycle=700 time=6.6510701372463865e-01 dt=9.1299828667217400e-04 zone-cycles/wsec_step=1.20e+08 wsec_total=1.34e+01 wsec_step=1.74e+00
cycle=800 time=7.5637778305702419e-01 dt=9.1286082995810846e-04 zone-cycles/wsec_step=1.22e+08 wsec_total=1.51e+01 wsec_step=1.72e+00
cycle=900 time=8.4764173458333969e-01 dt=9.1304109913750069e-04 zone-cycles/wsec_step=1.21e+08 wsec_total=1.69e+01 wsec_step=1.73e+00
cycle=1000 time=9.3905898732820348e-01 dt=9.1545794986830950e-04 zone-cycles/wsec_step=1.21e+08 wsec_total=1.86e+01 wsec_step=1.73e+00
cycle=1100 time=1.0307133290195292e+00 dt=9.1796873973109367e-04 zone-cycles/wsec_step=7.54e+07 wsec_total=2.14e+01 wsec_step=2.78e+00
cycle=1200 time=1.1226471940397087e+00 dt=9.2063954299305699e-04 zone-cycles/wsec_step=1.21e+08 wsec_total=2.31e+01 wsec_step=1.74e+00
cycle=1300 time=1.2148197862972814e+00 dt=9.2281861071371154e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=2.49e+01 wsec_step=1.76e+00
cycle=1400 time=1.3072002822281981e+00 dt=9.2481609834956934e-04 zone-cycles/wsec_step=1.20e+08 wsec_total=2.66e+01 wsec_step=1.75e+00
cycle=1500 time=1.3997636834867735e+00 dt=9.2629662261060799e-04 zone-cycles/wsec_step=1.20e+08 wsec_total=2.84e+01 wsec_step=1.74e+00
cycle=1600 time=1.4924289568691036e+00 dt=9.2674046970725964e-04 zone-cycles/wsec_step=6.82e+07 wsec_total=3.15e+01 wsec_step=3.08e+00
