######################################
###### Cloud in wind problem generator
#### Input parameters
## Cloud radius: 3.2e-22 kpc
## Cloud density: 1e+03 g/cm^3
## Wind density: 1 g/cm^3
## Wind temperature: 6.1e-09 K
## Wind velocity: 2.6e-05 km/s
#### Derived parameters
## Cloud temperature (from pressure equ.): 6.1e-12 K
## Cloud to wind density ratio: 1e+03
## Cloud to wind temperature ratio: 0.001
## Uniform pressure (code units): 1
## Wind sonic Mach: 2
## Cloud crushing time: 3.9e-13 Myr
######################################
Starting up hydro driver
### PARTHENON WARNING
  Message:     The following input parameters are set but unused:
comment/problem


  File:        /home/kaan/codes/athenapk/external/parthenon/src/parameter_input.cpp
  Line number: 687
# Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
prim                      Cell,Provides,Real,Derived,Hydro,parthenon::resolved_state
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes,Hydro,parthenon::resolved_state
bnd_flux::cons            Face,Provides,Real,Derived,OneCopy,Flux,CellMemAligned,parthenon::resolved_state
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------


Setup complete, executing driver...

cycle=0 time=0.0000000000000000e+00 dt=8.0687153045987860e-03 zone-cycles/wsec_step=0.00e+00 wsec_total=1.09e+00 wsec_step=2.16e+00
cycle=100 time=7.7343955107185391e-01 dt=7.5163796451394732e-03 zone-cycles/wsec_step=9.73e+07 wsec_total=5.40e+00 wsec_step=4.31e+00
cycle=200 time=1.5268155771021570e+00 dt=7.5714650333316390e-03 zone-cycles/wsec_step=9.45e+07 wsec_total=9.84e+00 wsec_step=4.44e+00
cycle=300 time=2.2902104622275599e+00 dt=7.6871417216376071e-03 zone-cycles/wsec_step=9.32e+07 wsec_total=1.43e+01 wsec_step=4.50e+00
cycle=400 time=3.0636620836874111e+00 dt=7.7852780549106798e-03 zone-cycles/wsec_step=9.04e+07 wsec_total=1.90e+01 wsec_step=4.64e+00
cycle=500 time=3.8456257730780026e+00 dt=7.8375419627729186e-03 zone-cycles/wsec_step=9.07e+07 wsec_total=2.36e+01 wsec_step=4.63e+00
cycle=600 time=4.6313665569094011e+00 dt=7.8807733071301206e-03 zone-cycles/wsec_step=9.11e+07 wsec_total=2.82e+01 wsec_step=4.60e+00
cycle=700 time=5.4216452203204009e+00 dt=7.9164456287540881e-03 zone-cycles/wsec_step=4.00e+07 wsec_total=3.87e+01 wsec_step=1.05e+01
cycle=800 time=6.2135554566035802e+00 dt=7.9222183762225843e-03 zone-cycles/wsec_step=9.10e+07 wsec_total=4.33e+01 wsec_step=4.61e+00
cycle=900 time=7.0059763615375195e+00 dt=7.9264434035918041e-03 zone-cycles/wsec_step=9.05e+07 wsec_total=4.80e+01 wsec_step=4.63e+00
cycle=1000 time=7.7985436324961652e+00 dt=7.9241447677457100e-03 zone-cycles/wsec_step=9.07e+07 wsec_total=5.26e+01 wsec_step=4.62e+00
cycle=1100 time=8.5908616182891375e+00 dt=7.9226578075554440e-03 zone-cycles/wsec_step=9.08e+07 wsec_total=5.72e+01 wsec_step=4.62e+00
cycle=1200 time=9.3830029941198276e+00 dt=7.9191440253953502e-03 zone-cycles/wsec_step=9.07e+07 wsec_total=6.18e+01 wsec_step=4.63e+00
