run_id,listed_in_viewer,index_frame_count,distinct_measured_times,first_t_tcc,last_t_tcc,mesh_bytes,scientific_status,index_url,issues
apkM05_L4_chi10,True,21,21,0.0,5.0,950909,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM05_L4_chi10/index.json,
apkM05_L4_chi100,True,21,21,0.0,5.0,278452,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM05_L4_chi100/index.json,
apkM05_L4_chi1000,True,21,21,0.0,5.0,310921,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM05_L4_chi1000/index.json,
apkM05_L5_chi10,True,21,21,0.0,5.0,4234334,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM05_L5_chi10/index.json,
apkM05_L5_chi100,True,21,21,0.0,5.0,2048890,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM05_L5_chi100/index.json,
apkM05_L5_chi1000,True,21,21,0.0,5.0,2232127,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM05_L5_chi1000/index.json,
apkM15_L4_chi10,True,16,16,0.0,5.002,477121,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM15_L4_chi10/index.json,
apkM15_L4_chi100,True,16,16,0.0,5.001,337865,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM15_L4_chi100/index.json,
apkM15_L4_chi1000,True,16,16,0.0,5.001,326279,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM15_L4_chi1000/index.json,
apkM15_L5_chi10,True,16,16,0.0,5.001,1994714,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM15_L5_chi10/index.json,
apkM15_L5_chi100,True,16,16,0.0,5.0,1576699,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM15_L5_chi100/index.json,
apkM15_L5_chi1000,True,16,16,0.0,5.0,1592171,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM15_L5_chi1000/index.json,
apkM5_L4_chi10,True,21,21,0.0,2.0,3434193,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM5_L4_chi10/index.json,
apkM5_L5_chi10,True,21,21,0.0,2.0,15019748,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM5_L5_chi10/index.json,
apkM5_L5_chi100,True,21,21,0.0,2.0,2075412,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkM5_L5_chi100/index.json,
apk_L1_chi10,True,50,50,0.0,5.0,16390,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L1_chi10/index.json,
apk_L1_chi100,True,101,101,0.0,5.0,15392,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L1_chi100/index.json,
apk_L1_chi1000,True,101,101,0.0,5.0,19233,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L1_chi1000/index.json,
apk_L2_chi10,True,100,100,0.0,5.0,148385,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L2_chi10/index.json,
apk_L2_chi100,True,101,101,0.0,5.0,52709,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L2_chi100/index.json,
apk_L2_chi1000,True,101,101,0.0,5.0,61570,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L2_chi1000/index.json,
apk_L3_chi10,True,101,101,0.0,5.0,866024,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L3_chi10/index.json,
apk_L3_chi100,True,101,101,0.0,5.0,446286,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L3_chi100/index.json,
apk_L3_chi1000,True,101,101,0.0,5.0,378139,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L3_chi1000/index.json,
apk_L4_chi10,True,101,101,0.0,5.0,4110449,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L4_chi10/index.json,
apk_L4_chi100,True,101,101,0.0,5.0,2122663,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L4_chi100/index.json,
apk_L4_chi1000,True,101,101,0.0,5.0,1979975,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L4_chi1000/index.json,
apk_L5_chi10,True,101,101,0.0,5.0,18912977,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L5_chi10/index.json,
apk_L5_chi100,True,101,101,0.0,5.0,10925872,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L5_chi100/index.json,
apk_L5_chi1000,True,101,101,0.0,5.0,10499022,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L5_chi1000/index.json,
apk_L6_chi10,True,101,101,0.0,5.0,82561100,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L6_chi10/index.json,
apk_L6_chi100,True,101,101,0.0,5.0,52800053,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apk_L6_chi100/index.json,
